time,global_tax
2030,5.2734375
2031,10.85968017578125
2032,17.72020697593689
2033,25.343264061957598
2034,33.7807640619576
2035,42.9995140619576
2036,52.0620140619576
2037,61.4370140619576
2038,71.1245140619576
2039,81.1245140619576
2040,91.4370140619576
2041,100.4995140619576
2042,110.4995140619576
2043,120.8120140619576
2044,131.7495140619576
2045,142.9995140619576
2046,148.6245140619576
2047,154.5620140619576
2048,160.8120140619576
2049,167.6870140619576
2050,174.8745140619576
2051,181.1245140619576
2052,187.6870140619576
2053,194.5620140619576
2054,202.3745140619576
2055,210.4995140619576
2056,216.7495140619576
2057,223.3120140619576
2058,230.4995140619576
2059,238.3120140619576
2060,246.4370140619576
2061,252.6870140619576
2062,258.9370140619576
2063,266.1245140619576
2064,273.6245140619576
2065,282.0620140619576
2066,290.4995140619576
2067,299.5620140619576
2068,309.5620140619576
2069,319.8745140619576
2070,330.8120140619576
2071,342.3745140619576
2072,354.5620140619576
2073,367.6870140619576
2074,381.4370140619576
2075,395.8120140619576
2076,411.1245140619576
2077,427.3745140619576
2078,444.2495140619576
2079,462.0620140619576
2080,480.9448597174765
2081,480.463914857759
2082,479.9834509429012
2083,479.50346749195836
2084,479.02396402446635
2085,478.5449400604419
2086,478.06639512038146
2087,477.5883287252611
2088,477.11074039653585
2089,476.6336296561393
2090,476.15699602648317
2091,475.6808390304567
2092,475.2051581914262
2093,474.7299530332348
2094,474.2552230802016
2095,473.7809678571213
2096,473.30718688926424
2097,472.83387970237493
2098,472.3610458226726
2099,471.8886847768499
2100,471.41679609207307
